"cowcode","month","year","eventid","country","INI_IGRP1","TAR_IGRP1","VIC_IGRP1","INI_SGRP1","TAR_SGRP1","VIC_SGRP1","INI_PGRP1","TAR_PGRP1","VIC_PGRP1","KNOW_INI","AMBIG_INI","INI_TYPE","NGOV_I1","GOV_I1","TAR_TYPE","HUMAN_T1","GOV_T1","G_LVL_I","G_LVL_T","G_LVL_V","HUMAN_V1","GOV_V1","VIC_TYPE","DATE_TYP","day","JUL_PSD","JUL_PED","JUL_EED","JUL_LED","JUL_START_DATE","JUL_END_DATE","DAY_SPAN","N_INJURD","TAR_GPOL","GP_TYPE","aid","PUB_MON","PUB_DATE","PUB_YEAR","recap","NEWS_SOURCE","CODE_YEAR","CODE_MONTH","CODE_DAY","event","posthoc","EV_TYPE","linked","LINK_TYPE","FROM_EID","TO_EID","pinpoint","GP3","GP4","GP7","GP8","LOC_TYPE","PE_TYPE","SYM_TYPE","AD_VIOL","AD_TACT","EXP_TYPE","ATK_TYPE","DSA_TYPE","STAT_ACT","N_OF_INI_P","N_OF_INI_A","WEAP_GRD","N_KILLED_P","N_KILLED_A","E_LENGTH","N_INJURD_D","DAM_PROP","arrests","PER_ATK_I","PER_ATK_E","PUB_ORDER","retribution","POL_EXPRESS","INTANG_REP","MASS_EXPRESS","POL_VIOL","STAT_VIOL","ST_REPRESS","AMBIG_WGT","SC_ANIMOSITY","ANTI_GOV_SENTMNTS","CLASS_CONFLICT","POL_DESIRES","RETAIN_POWER","ECO_SCARCITY","PERS_SECURITY","QUASI_EVENT","coup","COUP_FAILED","region","ctry_bias","victim_effect","weapon","property_damaged","property_owner","state","city"
2,1,1946,"EID190079","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,9,NA,NA,369,379,369,379,11,0,0,NA,2124804,1,15,1946,0,"NYT",2010,9,16,1,0,1,1,1,"EID190079","EID190080",3,"UNITED STATES","STAMFORD",41.05339813,-73.53869629,2,8,NA,0,17,4,NA,NA,NA,NA,NA,1,0,0,3,0,0,0,0,0,0,0,NA,NA,1.299999952,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,NA,NA,"Connecticut","Stamford"
2,1,1946,"EID190080","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,14,379,379,NA,NA,379,379,1,0,0,NA,2124804,1,15,1946,0,"NYT",2010,9,16,1,0,1,0,NA,"","",3,"UNITED STATES","STAMFORD",41.05339813,-73.53869629,24,9,15,0,17,2,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,1.899999976,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,NA,"Connecticut","Stamford"
2,1,1946,"EID206774","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,2,15,368,392,NA,NA,368,392,25,0,0,NA,19148557,1,28,1946,1,"NYT",2010,11,10,0,0,1,0,NA,"","",1,"UNITED STATES","UNITED STATES",38,-97,2,8,NA,0,17,4,NA,NA,NA,17000,17000,1,0,0,3,0,0,0,0,0,0,0,NA,NA,2.200000048,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,5,1,NA,1,NA,NA,"Kansas","Potwin"
2,1,1946,"EID218292","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,16,NA,NA,376,385,376,385,10,0,0,NA,19150677,1,21,1946,0,"NYT",2010,12,18,1,0,1,1,0,"EID218292","EID218302",3,"UNITED STATES","LACKAWANNA",42.82559967,-78.8234024,13,8,NA,0,17,4,NA,NA,NA,11000,11000,1,0,0,3,0,0,0,0,0,0,0,NA,NA,1.799999952,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,NA,"New York","Lackawanna"
2,1,1946,"EID218302","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,20,NA,NA,385,385,385,385,1,0,0,NA,19150677,1,21,1946,0,"NYT",2010,12,18,1,0,1,0,NA,"","",3,"UNITED STATES","LACKAWANNA",42.82559967,-78.8234024,13,7,NA,0,17,4,NA,NA,NA,2500,2500,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1.200000048,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,NA,"New York","Lackawanna"
2,1,1946,"EID223498","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,38,NA,NA,NA,NA,NA,NA,2,1,25,390,390,NA,NA,390,390,1,0,0,NA,19149205,1,26,1946,0,"NYT",2011,1,3,1,0,1,0,NA,"","",3,"united states","Joliet",41.52500153,-88.08170319,14,9,4,0,17,2,NA,NA,NA,60,60,1,0,0,1,0,1,0,0,0,0,0,2.799999952,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,34,NA,"Illinois","Joliet"
2,1,1946,"EID256172","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,37,20,NA,1,1,37,20,NA,2,16,379,383,NA,NA,379,383,5,0,0,NA,19150356,1,22,1946,0,"NYT",2011,5,26,1,0,1,1,1,"EID256172","EID256173",3,"united states","Flint",43.01250076,-83.6875,18,8,NA,0,17,4,NA,NA,NA,NA,NA,1,0,0,2,0,0,0,0,0,0,0,NA,NA,1.299999952,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,5,1,1,1,NA,NA,"Michigan","Flint"
2,1,1946,"EID305231","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,10,NA,NA,372,378,372,378,7,0,0,NA,19152099,1,14,1946,0,"NYT",2012,2,16,1,0,1,0,NA,"","",3,"UNITED STATES","NEW YORK",42.14970016,-74.93840027,2,8,NA,0,17,4,NA,NA,NA,7000,7000,1,0,0,2,0,0,0,0,0,0,0,NA,NA,1.5,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,13,1,NA,NA,"New York","Hamden"
2,1,1946,"EID305845","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,1,17,382,382,NA,NA,382,382,1,0,0,NA,19205021,6,27,1946,0,"NYT",2012,2,20,1,0,1,1,1,"EID305845","EID305846",3,"UNITED STATES","LOS ANGELES",34.05220032,-118.2440033,14,7,NA,0,17,4,NA,NA,NA,2500,2500,1,0,0,1,0,0,1,0,0,0,0,NA,NA,1.200000048,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,4,1,NA,NA,"California","Los Angeles"
2,1,1946,"EID340563","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,21,386,386,NA,NA,386,386,1,0,0,NA,19150349,1,22,1946,0,"NYT",2012,9,8,1,0,1,0,NA,"","",3,"UNITED STATES","UNITED STATES",38,-97,27,8,NA,0,17,4,NA,NA,NA,NA,20000,1,0,0,1,0,0,0,0,0,0,0,NA,NA,2.5,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,NA,"Kansas","Potwin"
